x_1,x_2,Class_label
-3.65443028,-184.184506,0
-28.3602017,-357.970649,2
3.45739577,-159.499312,2
-25.8638403,-161.957546,2
-10.9517258,156.3599,1
-6.80461224,145.607611,1
-24.9264333,-166.27861,2
-13.0014628,-245.450393,0
5.74956318,-24.6088454,1
10.7278899,-64.9225241,1
7.38754399,-12.784782,1
-24.8847421,36.6651731,2
-9.5083783,-228.334989,0
-27.3195517,-95.4316727,2
-14.1171578,-270.450316,0
23.7917208,-73.9978324,0
-20.5917678,213.172567,1
-6.56162775,-249.490469,0
-26.3206604,-84.5384819,2
-24.0488038,-201.716152,2
-26.5208397,-80.4502767,2
5.51148925,6.52094874,1
5.65611574,-143.715542,0
-26.3974831,-155.822906,0
-28.7134141,-211.116894,2
1.07193619,-164.540873,0
-2.29166472,70.3664276,1
2.29215021,-169.292812,0
-25.4684839,-177.902521,2
-30.0291257,-332.958881,2
-28.0264673,-136.798825,2
14.8574833,-127.466504,0
-26.2406466,-357.319428,2
-23.6022539,-68.9159938,2
-7.9378528,130.546096,1
-11.764025,60.418304,1
-1.65573478,-177.123505,0
14.150235,-90.8566923,0
5.00352116,85.2471718,1
-7.09815918,112.360353,1
8.51458674,26.8560826,1
2.82650722,-195.982281,0
0.333061723,-203.171594,0
-0.116523054,82.5476858,1
-17.4242583,-260.3489,0
6.45043621,27.3318206,1
0.466252091,-160.00275,0
-28.586649,19.9811429,2
-17.212034,-246.159581,0
0.190173025,-195.048975,0
5.2878981,-168.183158,0
-27.7690391,-363.452062,2
-30.8566876,-230.051051,2
-7.79948222,-224.005454,0
-27.3849906,-311.817463,2
-21.9705559,-335.994764,0
-29.0451246,-385.613383,2
-26.4568146,-131.975058,2
-27.0776471,-300.177226,2
9.61939327,40.8096135,1
4.77435773,35.5737364,1
-5.18658468,40.4087591,1
-1.42346795,50.7223926,1
16.7042449,-89.8229775,0
-26.7103055,-127.591334,2
8.49836883,-126.941976,0
2.44180472,7.12787838,1
-13.3215599,138.229354,1
7.30663642,-124.788107,0
-4.35113004,132.429292,1
5.75560916,55.7607679,1
-27.4442419,-154.628994,2
-2.84958585,91.0531474,1
9.52059633,37.3155044,1
6.48733924,-208.352654,0
-25.2255607,-169.794454,2
18.4526943,11.8564479,1
-12.5535064,126.13083,1
-6.14886532,-194.679515,0
-28.2815076,-120.810294,2
-25.9252834,-176.977599,2
5.67213872,-145.715186,0
1.35774866,-173.945166,0
-24.625732,-40.5947091,2
-7.71856258,69.7276853,1
-19.5084559,-246.998166,0
1.97497141,21.3538275,1
-10.8351319,-258.135556,0
-24.3554254,-230.305222,2
-4.61209405,96.0863079,1
1.38828327,2.14665667,1
22.9787336,-49.0434831,0
-23.2354496,-77.1670755,2
-27.2153104,-133.000313,2
-28.3132395,-318.937776,1
-20.9493026,-164.788301,1
2.81535663,59.8112129,1
-5.0308224,134.495766,1
-2.81408803,-172.051134,0
2.75169718,-3.87558842,1
-3.56838073,66.8217957,1
-23.901304,249.787858,1
-5.39643255,78.5584277,1
-4.01406388,-208.631331,0
18.1976785,5.80487197,1
-26.3425318,-174.087177,2
11.9638441,-111.409948,0
-20.8254123,-252.065483,0
3.80548102,56.8084076,1
-27.2229357,-223.901973,2
-7.429184,134.318795,1
-3.36460248,94.557938,1
-21.4919889,-29.8597354,2
5.02845392,-127.06796,0
3.81955093,-18.8252346,1
-30.832438,-394.643355,2
-1.74309251,-207.846356,0
-26.3901198,-109.953009,2
6.80571888,-116.724527,0
1.19444257,-96.6715888,0
3.44633167,-169.268482,0
12.045443,-117.570797,0
-1.94269585,-181.292694,0
-10.4570782,94.254717,1
-26.4577574,-235.323607,2
3.30545277,91.4395604,1
7.08940677,-17.1978393,1
-25.9908154,-99.1256413,0
-10.7897591,201.17104,1
-11.4622392,-264.63959,0
-2.51659846,123.602794,1
14.8952017,-21.5333892,1
-25.5505394,-139.795039,2
