
[-0.40529314894853147, -171.57692605551648]
[-0.6019871996051006, 60.230460889110006]
[-25.1440672717699, -165.7059468593467]
[-0.4842053396559925, -170.88667032761268]
[-0.636500938351518, 57.580416874452226]
[-25.25277282594589, -168.7084783768849]
[-0.41172373894577763, -170.5849087104608]
[-0.6592279520898544, 60.47485974247177]
[-25.32736932556757, -167.00312467097308]
[-0.3812479391712264, -170.3420159556509]
[-0.32083458328228026, 57.361309679617804]
[-25.249469719041112, -168.5491283125718]
[-0.160164975553875, -169.26237041467797]
[-0.342149713413442, 57.152649913659005]
[-25.133276227591264, -169.3885648097713]
[-0.49660323459638045, -171.32467437363815]
[-0.4315572643093222, 59.550827432431596]
[-25.140609698165697, -171.83216409100578]
[-0.4430738797848869, -170.4569326998506]
[-0.5493791677587149, 59.771090221982185]
[-25.154995543614643, -169.26476373384384]
[-0.3519575782709214, -171.57729959621872]
[-0.4850196526492821, 60.8125393633065]
[-25.034395912226714, -166.3022072012833]
[-0.658279993815399, -173.04113510767093]
[-0.2957713566770993, 58.28006125957857]
[-25.144724452383834, -168.31272439185705]
[-0.41623118065307124, -171.57671587731275]
[-0.4654712659922461, 59.95726368165151]
[-25.041863951075257, -165.85156042075658]
[-0.4243583083746633, -169.77756834157384]
[-0.762364227937524, 59.86648177149204]
[-25.083255188954368, -168.17240186662016]
[-0.5979971062647726, -171.23308077935613]
[-0.42652961825607977, 60.79242305304457]
[-25.03047997313354, -169.38959390088476]
[-0.6763654672715389, -172.96125805517534]
[-0.6816287185355017, 61.97439223498914]
[-25.384584457023866, -170.54664805869663]
[-0.7478382859852677, -171.69838435057565]
[-0.5918922800592811, 62.55235462057129]
[-25.272927129545373, -173.09334313529845]
[-0.35077221462589825, -170.80830341686234]
[-0.7737254434651442, 61.34263785068753]
[-25.075966835836116, -162.46668166379183]
[-0.24392738991369242, -168.5583632143397]
[-0.5509801320169626, 58.30789298739712]
[-25.112430659387638, -167.09552884758347]
[-0.28111256457232225, -170.01579808644544]
[-0.7376733684578841, 61.483703865687744]
[-25.26705131431466, -167.2160105213515]
[-0.6812913869722693, -170.85597687660115]
[-0.3804472641453671, 57.88621273887832]
[-25.008103870440074, -168.75398466746302]
[-0.1530775393353934, -170.0879363169195]
[-0.43635292629145345, 60.61492727552298]
[-25.120185906303217, -168.5384844330262]
[-0.6482212745580671, -170.55548759922135]
[-0.5666728940730318, 60.52548468873349]
[-25.14402822107399, -164.93906002013478]
[-0.45641081511041665, -171.6783516644887]
[-0.5570167096700855, 60.65515162256399]
[-25.131073454050416, -165.62583887645476]
[-0.6656682096778945, -172.3418491596171]
[-0.7233760417567701, 61.17893373850549]
[-25.087606092581265, -164.44460582933655]
[-0.4652233316887632, -170.83824066994347]
[-0.4595817687361816, 61.976207577523326]
[-25.26069273056052, -170.31937414479907]
[-0.38162654988105665, -170.277523538247]
[-0.35783366464951405, 60.22546114647207]
[-25.19149992638457, -166.19455130652565]
[-0.5571478863300557, -172.50645449630446]
[-0.4297011826134958, 57.987407240366956]
[-24.98612987549952, -167.8284789517853]
[-0.5038379366433712, -169.91863130934678]
[-0.24419462793568755, 58.32880876600159]
[-25.16532146884418, -168.2163791799465]
[-0.5802413075740948, -172.6399652485048]
[-0.5131460157216367, 59.31452889692687]
[-25.025788968788824, -166.1552115524244]
[-0.45750717127584284, -171.20764422528094]
[-0.4241986200375972, 57.21626593845027]
[-25.201701569510544, -164.0289151914626]
[-0.7847381474244015, -172.25450768399656]
[-0.3997544781906437, 60.12394433671408]
[-25.03101040178901, -167.1396153790754]
[-0.3539710627357769, -171.78111496905166]
[-0.4006467153530139, 59.32349057029664]
[-25.263383903865737, -169.75491717782148]
[-0.08157707865805865, -169.35623673546678]
[-0.5993448232799231, 60.417432053815176]
[-25.068076354035306, -166.8447065270894]
[-0.5319722487222954, -170.3486037651362]
[-0.5639908255995202, 58.742990281422216]
[-25.18070389866189, -162.345076656201]
[-0.30423869435205697, -171.12696302887096]
[-0.600322354086927, 59.85179920506563]
[-25.086392663858838, -165.98042339116063]
[-0.48101864931737, -169.50136323847414]
[-0.3909444844015876, 56.11341915957449]
[-25.05590509527197, -167.78788255746804]
[-0.573207022013849, -170.8963711311272]
[-0.4687341879473041, 58.356405273671996]
[-25.213826990255257, -171.34364658442072]
[-0.36054161842751176, -171.14028374795325]
[-0.35995622225876317, 58.85984854037552]
[-25.019725599732798, -166.6733909897978]
[-0.354866750493791, -171.38362348209782]
[-0.616287816277361, 59.43516538563158]
[-25.1637262426254, -171.15956480783618]
[-0.4072719900492875, -170.24387486461532]
[-0.4066766386514992, 58.01811994443198]
[-25.101660886148686, -167.72910996679698]
[-0.5796580780121535, -171.36303316958848]
[-0.7176525892648968, 60.17494266416328]
[-25.195512239494636, -167.0602998822214]
[-0.48580457705085267, -170.9733474596877]
[-0.7447934772363808, 63.495478223426694]
[-25.069771517286263, -166.80618298653437]
[-0.6903440131406839, -170.57721127413498]
[-0.2783411599112695, 59.29839840705369]
[-24.964471426091137, -166.51855608097293]
[-0.37133813949161093, -172.05292984408965]
[-0.4498132805684313, 59.54298858635854]
[-25.23862551540171, -169.54132227255425]
[-0.1561311436846525, -169.5253340891701]
[-0.37705398307204235, 59.31569570585497]
[-25.115230376182947, -166.74089048530388]
[-0.40450506032619765, -171.12758330129577]
[-0.5843123771040911, 59.20374256636973]
[-24.987003311928472, -168.5749531309226]
[-0.6004874648896659, -171.5602908519137]
[-0.33871468353805423, 57.5922574107096]
[-25.114129395055304, -165.82530953167782]
[-0.7722977554637466, -172.87601339371938]
[-0.5667667559539709, 59.52695556324278]
[-25.150146264263665, -170.5825459795628]
[-0.22027938208404532, -169.02196967050332]
[-0.4788355455437326, 60.5415645080908]
[-25.085867133150607, -166.83508667052496]
[-0.6659914692465448, -171.51647927216862]
[-0.5657209909027829, 59.2932535869775]
[-25.100861606209207, -167.50629710102635]
[-0.1613673668004708, -169.61297500730697]
[-0.49126680245952103, 59.06204627759596]
[-25.104336998128463, -167.24908836277072]
[-0.6886501117095499, -171.54187706830538]
[-0.6731155363821427, 58.335033438960096]
[-25.156132579126204, -169.77927718694457]
[-0.4747583386652132, -171.26406531516588]
[-0.5311422976372723, 60.598449809051495]
