# x_1,x_2,Class_label
-3.65443028e+00,-1.84184506e+02,0
-2.83602017e+01,-3.57970649e+02,2
3.45739577e+00,-1.59499312e+02,2
-2.58638403e+01,-1.61957546e+02,2
-1.09517258e+01,1.56359900e+02,1
-6.80461224e+00,1.45607611e+02,1
-2.49264333e+01,-1.66278610e+02,2
-1.30014628e+01,-2.45450393e+02,0
5.74956318e+00,-2.46088454e+01,1
1.07278899e+01,-6.49225241e+01,1
7.38754399e+00,-1.27847820e+01,1
-2.48847421e+01,3.66651731e+01,2
-9.50837830e+00,-2.28334989e+02,0
-2.73195517e+01,-9.54316727e+01,2
-1.41171578e+01,-2.70450316e+02,0
2.37917208e+01,-7.39978324e+01,0
-2.05917678e+01,2.13172567e+02,1
-6.56162775e+00,-2.49490469e+02,0
-2.63206604e+01,-8.45384819e+01,2
-2.40488038e+01,-2.01716152e+02,2
-2.65208397e+01,-8.04502767e+01,2
5.51148925e+00,6.52094874e+00,1
5.65611574e+00,-1.43715542e+02,0
-2.63974831e+01,-1.55822906e+02,0
-2.87134141e+01,-2.11116894e+02,2
1.07193619e+00,-1.64540873e+02,0
-2.29166472e+00,7.03664276e+01,1
2.29215021e+00,-1.69292812e+02,0
-2.54684839e+01,-1.77902521e+02,2
-3.00291257e+01,-3.32958881e+02,2
-2.80264673e+01,-1.36798825e+02,2
1.48574833e+01,-1.27466504e+02,0
-2.62406466e+01,-3.57319428e+02,2
-2.36022539e+01,-6.89159938e+01,2
-7.93785280e+00,1.30546096e+02,1
-1.17640250e+01,6.04183040e+01,1
-1.65573478e+00,-1.77123505e+02,0
1.41502350e+01,-9.08566923e+01,0
5.00352116e+00,8.52471718e+01,1
-7.09815918e+00,1.12360353e+02,1
8.51458674e+00,2.68560826e+01,1
2.82650722e+00,-1.95982281e+02,0
3.33061723e-01,-2.03171594e+02,0
-1.16523054e-01,8.25476858e+01,1
-1.74242583e+01,-2.60348900e+02,0
6.45043621e+00,2.73318206e+01,1
4.66252091e-01,-1.60002750e+02,0
