# x_1,x_2,x_3,Class_label
-9.12225600e+01,-6.54759887e+01,-4.78677462e+01,0
-1.53356258e+02,-1.15107400e+02,-9.42594028e+00,0
-2.18504221e+02,-8.83812420e+01,-8.37291381e+01,0
-2.30636611e+02,-5.93818485e+01,-1.42372510e+02,0
5.80547550e+01,6.00164454e+01,2.32163871e+01,1
-1.94535105e+02,-6.25578945e+01,-1.06983416e+02,0
-2.43988973e+02,-8.68839095e+01,-1.13870740e+02,0
-5.20864440e+01,-3.99328410e+01,-1.97443927e+01,0
5.07371447e+01,8.64169809e+01,-1.09179095e+01,1
-6.98150435e+01,-2.41946105e+01,-6.61073643e+01,0
-4.76438393e+01,-9.88240596e+01,2.42909280e+01,0
-1.23971291e+02,-7.65599171e+01,-3.63503021e+01,0
-1.02287799e+02,1.54278806e+00,-1.46771937e+01,1
5.87388947e+01,-4.86444013e+01,1.08356691e+01,1
1.82805335e+02,5.19784150e+01,-1.26642687e+01,1
7.07958820e+01,8.02165520e+01,-1.25300097e+02,1
-6.20839643e+01,-6.57232910e+01,-1.04005449e+02,1
4.89493734e+01,5.63714244e+01,-6.20217729e+01,1
-2.09060392e+02,-8.22626777e+01,-7.84927318e+01,0
1.42479836e+01,2.36450970e+01,-8.30736330e+01,1
7.99759183e+01,-2.31289950e+01,4.03990612e+01,0
-1.05686184e+02,-2.84889812e+01,-7.88453689e+01,0
4.38326563e+01,-1.04474357e+01,-1.40651799e+02,1
7.64541106e+01,1.47403336e+01,-1.96269096e+01,0
2.25789389e+01,-4.38269949e+01,2.51191654e+01,0
-1.58083674e+02,-6.06373838e+01,-9.55250046e+01,0
-4.54995410e+01,-2.00502164e+00,-1.58981993e+02,1
-9.64550026e+01,-1.22606514e+02,2.54858216e+01,0
-2.71453852e+02,-9.78904228e+01,-1.24674349e+02,0
1.64919579e+02,8.04861582e+00,4.04873739e+01,1
2.09844728e+01,-2.76368110e+01,-8.78040418e+00,0
-4.12181048e+01,-7.13035704e+01,-5.29759114e+01,1
1.77188406e+01,-8.04332388e+01,-4.94901391e+01,1
1.42176645e+02,1.51343189e+01,-1.95925910e+01,1
1.24578681e+01,4.61067162e+01,-2.78892871e+01,1
-1.89642070e+02,-1.04301721e+02,-3.73747193e+01,0
-2.04099371e+02,-8.28537278e+01,-9.19537015e+01,0
-1.56870864e+02,-1.19141940e+02,-4.76693995e+01,0
4.07382665e+01,2.20330550e+01,-8.43936000e+01,1
-1.10554980e+02,-1.43544475e+02,4.01750825e+01,0
7.10456986e+01,1.12294291e+02,-8.21804760e+01,1
1.17340111e+02,3.40376065e+01,1.57300616e+01,0
-4.23032542e+01,-5.14100282e+01,-1.36918883e+01,0
-5.53496955e+01,-3.20307658e+01,-3.86916585e+01,1
-2.63015335e+01,1.62899276e+01,-5.93254903e+01,0
8.41382083e+00,4.34239418e+01,-6.62239529e+01,0
-1.39496367e+01,-3.26677513e-01,-1.63409769e+02,1
4.01326220e+01,8.37668776e+01,-1.37956390e+02,1
-9.04118202e+01,-2.84821867e+01,-9.44918910e+01,1
4.34149660e+00,-6.95519001e+00,-3.36662517e+01,0
7.25147542e+01,1.14634628e+01,-3.38141864e+01,1
-1.36264990e+02,-6.28815723e+01,-7.47251535e+01,0
1.22905706e+01,-6.57350625e+01,3.73106120e+01,0
-4.37859924e+01,-5.05324742e+01,-1.20730467e+01,0
-1.54829112e+02,-1.09910273e+02,-1.96581535e+01,0
-5.86428779e+00,5.49976016e+00,-3.31916149e+01,1
-6.65941883e+01,-3.76543694e+00,-1.16783973e+02,1
1.33314612e+02,1.59266838e+01,2.00252018e+01,1
1.55395368e+02,5.73978935e+01,-7.38177262e+01,1
-3.18417700e+02,-9.85141046e+01,-1.47363979e+02,0
-2.76223029e+01,6.82446399e+01,-1.14632339e+02,1
-2.61208751e+02,-1.41620837e+02,-7.35400125e+01,0
6.17771219e+01,4.50333384e+01,-7.65534081e+01,1
5.96098510e+01,-1.41957719e+01,-4.27897960e+01,1
3.28892719e+01,-5.97876494e+01,-6.40903954e+01,1
7.56273496e+01,6.38501693e+01,-1.65825670e+02,1
-2.73797659e+01,-7.27647518e+01,4.07524214e+00,0
-6.31073954e+01,-1.80270585e+01,-5.99979457e+01,0
-1.20532058e+02,-3.07252667e+00,-1.21529095e+02,1
-2.55639394e+01,-2.04938007e+01,-2.71950009e+01,1
-1.38559526e+02,-9.36483327e+01,-3.95787188e+01,0
4.62916465e+01,5.58460252e+01,-8.28487055e+01,1
-2.10257690e+02,-5.61902851e+01,-1.26883416e+02,0
1.30672009e+02,5.41879492e+01,-3.64610631e+01,1
5.99055079e+01,5.33740452e+01,-1.02103626e+02,1
4.08807415e+01,4.04019688e+01,-6.67142221e+01,1
4.30058769e+01,-1.28392814e+01,-1.35683059e+00,1
7.36270844e+01,9.89892866e+01,-7.35538997e+01,1
4.89589547e+01,-7.39135650e+00,-2.74202626e+01,1
1.51106975e+02,1.29039748e+01,3.90873531e+01,0
-2.93606243e+01,-6.14252348e+01,-4.81558830e+01,1
-2.58160504e+02,-6.81146088e+01,-1.44867713e+02,0
-1.25523591e+02,-4.66851649e+01,-7.42806796e+01,0
1.57225132e+01,2.91079125e-01,-3.80356979e+01,0
1.86334878e+02,1.16818981e+02,-2.82325896e+01,1
3.88293276e+01,-1.16398653e+01,4.10891294e+00,0
-1.68163535e+02,-1.05670632e+02,-1.68559659e+01,0
-5.87564869e+01,-4.02195261e+01,-4.97824318e+01,0
-2.73029976e+01,-9.00375852e+01,2.81911858e+01,0
6.16828228e+01,4.58635010e+01,-9.29879995e+01,1
-6.55229364e+01,-4.00334167e+01,-8.62206438e+01,1
-2.58390426e+02,-1.04429417e+02,-1.09563476e+02,0
-2.99913708e+02,-8.65422059e+01,-1.59129942e+02,0
-1.50799113e+01,1.62353127e+01,7.82783675e+00,1
-1.68043741e+01,3.21692802e+01,-6.99357956e+01,1
2.62252548e+01,-5.41707056e+01,1.72449979e+01,0
5.07945599e+01,2.55696316e+01,-8.78167014e+01,1
2.35877751e+01,-3.10557844e+01,6.76106854e+00,0
1.39304852e+02,3.20495332e+01,1.82288511e+01,0
3.88911320e+01,-4.95871517e+01,5.38815017e+01,0
-9.02008497e+01,-2.83297463e+01,6.93116148e+01,1
-1.72707825e+02,-8.02807049e+01,-6.12595765e+01,0
3.35164246e+01,2.88427307e+01,-4.01241533e+01,1
4.73227832e+01,4.51143525e+01,-5.85628650e+01,0
-5.73067092e+01,-2.65620970e+01,2.19134524e+01,1
