x_1,x_2,x_3,Class_label
15.4514771,24.2778106,-84.2856767,0
33.1557623,12.8148071,32.5392288,0
-1.86762028,-17.4706925,18.2773838,1
25.9228176,12.8756433,3.73665879,0
2.12241945,-15.3138522,25.1979644,1
18.2231219,7.16791606,-3.28989583,0
16.1378488,-11.5438589,65.0909218,1
26.3979472,-8.0719292,91.3793464,1
11.3332249,-12.4227474,49.7222064,1
14.2290666,3.21540183,-2.87418342,0
14.3361692,1.40925235,4.9436617,0
-4.42903885,-17.8452679,9.69932412,1
-30.5528822,-26.4466991,-58.2123267,1
25.7970522,-8.71483816,91.6394985,1
17.9448527,5.36419744,2.99666457,1
6.94221955,11.1977363,-64.3230534,0
-9.49686339,-20.0513044,-1.27459893,1
-16.3020898,-22.0050997,-20.1400282,0
41.6076886,-2.22580193,127.486636,1
0.40907776,7.85006483,-76.4073359,0
19.9188158,6.81598422,4.8451298,0
5.30341374,-14.6048591,34.8526936,1
22.8335686,-9.37713617,82.6522494,1
18.9116468,-11.7864247,77.0341929,0
12.3182569,-17.1298595,72.8834535,0
54.6779369,2.63474317,159.183186,1
17.5644956,-9.91126739,64.0384668,1
21.1806837,-0.410662639,39.4151376,0
9.2814522,-13.6133482,46.4971817,1
19.453709,2.24769787,21.7132629,0
7.18881061,-13.203342,36.5573483,1
-0.316440728,-16.299247,19.6046465,1
12.746541,-6.6030445,31.4735609,0
23.528298,9.21642198,9.2660072,0
10.7230136,-9.91471633,37.0444802,0
3.17220782,-15.1006996,28.4694876,1
21.7791294,8.91751113,3.58466759,0
-1.40533998,1.3731935,-57.051431,0
20.4762821,4.77824878,15.3890723,0
12.1279292,-12.5445742,53.3582628,1
12.6451305,-17.663316,76.3580176,0
16.4319124,-11.2249184,64.9459373,1
1.20506728,-1.12737095,-36.5081055,0
-18.2169751,-23.2542961,-22.5847512,1
21.355639,11.1164008,-7.09020298,0
12.3423427,10.8035124,-41.3908991,0
55.6715087,2.14925861,165.093259,1
20.0200039,-9.51996299,72.1299296,1
5.031413,-14.4592271,33.1826461,1
10.0861899,11.6423155,-53.7318761,0
14.8848622,-12.118463,62.4971478,1
8.00427897,-4.68008868,4.87925678,0
2.94105751,-15.8000828,30.4205066,1
40.4588908,-3.41676566,127.82777,1
17.8475004,-10.0428078,65.6942586,1
22.3059721,14.5885088,-17.5546537,0
20.7722577,-8.22240319,69.7869165,1
1.97322362,-15.7155783,26.2537977,1
20.2834936,-9.33721739,72.4218804,1
20.4717909,16.4365597,-32.3620438,0
11.6435961,4.96715034,-20.2531402,0
24.5256737,-8.74459384,86.7423102,1
16.8744377,-3.03170394,33.1468785,0
33.4703926,10.4642555,43.4053115,0
15.4974602,-8.18972493,48.8298101,0
16.2140426,16.769605,-50.5339594,0
11.9481139,0.494497547,-0.738319888,0
51.6661288,1.46065228,152.100633,1
20.1545345,8.63389085,-1.66749827,0
22.9611832,8.66085078,9.30192052,0
17.1649322,12.4812853,-29.2221856,0
7.00993059,-13.7398839,38.047983,1
21.2698019,-8.74601182,73.894916,1
17.4288982,11.9107896,-25.8443095,0
33.4483655,8.80520819,50.1111017,0
24.9578354,-8.99238574,89.462905,1
-22.5625862,-24.4261459,-34.9419312,1
-8.64846978,-18.5504267,-4.07053844,1
-27.8160426,-26.0176524,-49.1647833,1
16.237963,-10.0067857,59.1928029,1
14.1683646,-3.30490732,23.5827128,0
8.20776023,1.43041925,-19.3361138,0
4.92650293,3.8420452,-42.1636062,0
32.3078818,8.74670661,45.8483427,0
12.491377,-12.5282702,54.7262905,1
8.39061998,1.06678304,-17.1253791,0
-7.47785434,-19.7114079,5.30417957,1
38.0357348,-3.26278487,117.631427,1
15.3794496,-20.0747319,97.0255028,0
22.6337278,9.06808449,6.34186207,0
28.234901,16.2146555,-0.807069742,0
6.439191,-0.812947488,-17.1327282,0
45.7920232,-0.469594982,136.814574,1
0.89134892,4.42999012,-60.5004387,0
36.5668735,-3.38940634,112.35124,1
13.2192458,8.50203564,-28.5060627,0
12.5108379,3.39026414,-10.3731824,0
-6.95381052,-18.1606199,1.02345333,1
-0.154818122,-15.8236925,18.29559,1
22.4910908,19.0156332,-34.9501266,0
29.3266154,-4.64185508,88.8968681,0
7.0142175,-3.82166753,-2.54389731,0
40.9230542,-3.01018324,127.99545,1
45.3975115,-1.72673966,140.404371,1
67.6888931,7.0216064,192.585095,1
5.587938,-13.5809414,31.7836163,0
16.9789541,-10.890856,65.7377194,0
5.24026794,-14.8090917,35.4396161,1
-12.5631916,-15.6064799,-31.5782739,0
8.39607231,-13.5633214,42.7971407,0
3.04127569,-14.6475728,26.0973404,0
