,Class_label,x_1,x_2
175,0.0,15.4229816,47.680189299999995
2,0.0,-1.76754612,37.848575200000006
61,0.0,35.0829437,74.4592607
102,0.0,29.7599221,69.6178277
49,0.0,37.2606779,73.83580119999999
191,0.0,32.3072789,70.9975984
34,0.0,4.11344414,39.531679499999996
176,0.0,11.8956743,55.2030495
92,0.0,25.8628975,63.96464889999999
179,0.0,32.666227,69.2245024
128,0.0,24.550760500000003,59.2126147
96,0.0,26.350707399999997,58.868610499999996
161,0.0,14.313020499999999,56.965709700000005
108,0.0,34.9483263,69.6410469
27,0.0,17.043039800000003,52.012729799999995
21,0.0,33.4763291,70.94279379999999
76,0.0,47.2048018,79.40221149999999
132,0.0,14.806746900000002,51.5939934
156,0.0,23.160133399999996,55.967393799999996
68,0.0,30.4670316,66.8767557
66,0.0,19.64854,59.241476799999994
99,0.0,24.0076281,65.33150690000001
91,0.0,11.7996403,44.3465188
170,0.0,18.1341668,56.881541000000006
38,0.0,16.4162123,58.408753299999994
48,0.0,31.974407300000003,70.237662
84,0.0,11.5990222,54.614702199999996
136,0.0,12.292124699999999,47.6573253
163,0.0,16.2871987,56.268333
64,0.0,-1.69822761,40.4696245
147,0.0,28.053213699999997,67.5684463
6,0.0,20.4251573,56.752853599999995
104,0.0,22.3812032,61.1964377
139,0.0,23.43443,61.7819142
181,0.0,-1.68788701,37.9587104
88,0.0,9.1194285,46.430586299999995
77,0.0,19.0734367,61.101373200000005
71,0.0,13.561212,56.2290061
28,1.0,-100.87515,49.666014600000004
19,1.0,-88.87908859999999,61.9758841
73,1.0,-68.04958620000001,76.9083663
125,1.0,-92.1670686,57.515385800000004
173,1.0,-79.7363001,64.3671503
37,1.0,-88.52867540000001,50.4969761
42,1.0,-80.68480059999999,66.8297632
198,1.0,-80.10676190000001,60.9455865
72,1.0,-84.55539509999998,56.1983451
32,1.0,-97.08574229999999,42.1097768
25,1.0,-98.0931791,37.6162257
186,1.0,-87.3591682,54.5747439
63,1.0,-93.2358848,55.343358900000005
53,1.0,-83.6765572,73.27374420000001
142,1.0,-75.46198890000001,69.6576817
187,1.0,-76.4278242,63.7134981
95,1.0,-70.342626,69.7431434
140,1.0,-69.1345683,52.0374782
115,1.0,-93.0838944,59.8880106
33,1.0,-70.3637027,66.085992
60,1.0,-84.7835804,55.503662
193,1.0,-79.07124209999999,51.4307479
135,1.0,-76.6378625,61.8296944
83,1.0,-80.17751159999999,54.875653
18,1.0,-74.54818829999999,77.0878282
100,1.0,-72.8657603,64.2250014
160,1.0,-96.529113,53.732937899999996
166,1.0,-70.6090837,75.512075
197,1.0,-76.66085190000001,56.1605448
150,1.0,-103.948858,46.5699201
137,1.0,-73.2646516,73.62246529999999
98,1.0,-82.2978197,55.827588600000006
154,1.0,-84.99506269999999,50.6152511
157,1.0,-80.1493832,54.378307299999996
20,1.0,-88.2770835,48.8276243
119,1.0,23.3286225,55.5800421
120,1.0,-76.099712,60.25852149999999
0,1.0,-73.66450340000002,59.6509652
121,2.0,-89.7089474,-53.218716
40,2.0,-90.4107857,-53.598805299999995
81,2.0,-44.723285,-94.9313063
54,2.0,-104.508193,-35.9464943
82,2.0,-104.533263,-38.5829245
184,2.0,-10.9125261,34.3479326
145,2.0,-64.2677198,-79.1840941
58,2.0,-100.658316,39.7359981
87,2.0,-66.0409512,-78.0540324
79,2.0,-73.8898257,-67.1740884
180,2.0,-62.94536239999999,-76.3526303
103,2.0,-95.6933592,-48.611276700000005
109,2.0,-68.23768170000001,-73.60640500000001
44,2.0,-93.1247812,-49.516539200000004
75,2.0,-82.7017292,-58.844359600000004
172,2.0,-82.6459536,-60.1478327
178,2.0,-93.7392465,-45.2019177
26,2.0,-85.8129573,-56.6814938
117,2.0,-78.16978990000001,-66.021341
85,2.0,-79.38652929999999,-60.0872448
146,2.0,-107.207885,-38.1659186
124,2.0,-69.1944112,-72.0051103
195,2.0,-72.6460828,-69.9995049
46,2.0,-89.1761936,-56.177864
153,2.0,-77.6026765,-64.2674451
183,2.0,-103.714047,-39.505226
148,2.0,-95.90876309999999,-50.1738189
189,2.0,-88.7162493,-53.9879922
177,2.0,-74.34038559999999,-64.68787660000001
36,2.0,-59.03612389999999,-80.96963050000001
57,2.0,-73.7623651,-66.5092637
97,2.0,-86.82084379999999,-57.445019099999996
152,2.0,-96.74158620000001,-47.4665686
165,2.0,-95.6018224,-46.427209999999995
93,2.0,-68.4263672,-71.6340593
59,2.0,-59.5278029,-81.665479
17,2.0,-87.7159262,-53.477175300000006
155,2.0,-106.480372,-36.625037400000004
