# x_1,x_2,Class_label
-7.36645034e+01,5.96509652e+01,1
-7.01650610e+01,-7.26892712e+01,2
-1.76754612e+00,3.78485752e+01,0
-8.36635749e+01,-6.01973819e+01,2
-7.28809062e+01,-6.84149805e+01,2
-8.19028650e+01,-6.01762751e+01,2
2.04251573e+01,5.67528536e+01,0
-8.42316074e+01,-5.80262548e+01,2
-9.82495133e+01,4.90219216e+01,1
-8.20837888e+01,-6.03764964e+01,2
-2.72356145e+00,3.76158790e+01,0
1.42650885e+01,5.12073222e+01,0
2.90735383e+01,6.82714114e+01,0
-1.03840500e+02,-3.75342997e+01,2
-6.81152154e+01,7.78838581e+01,1
2.54143430e+01,6.29940739e+01,0
1.46947375e+01,5.70812818e+01,0
-8.77159262e+01,-5.34771753e+01,2
-7.45481883e+01,7.70878282e+01,1
-8.88790886e+01,6.19758841e+01,1
-8.82770835e+01,4.88276243e+01,1
3.34763291e+01,7.09427938e+01,0
-7.48125439e+01,-7.12045599e+01,2
-1.98754565e+00,3.62117303e+01,0
-8.81289440e+01,-5.39515043e+01,2
-9.80931791e+01,3.76162257e+01,1
-8.58129573e+01,-5.66814938e+01,2
1.70430398e+01,5.20127298e+01,0
-1.00875150e+02,4.96660146e+01,1
-9.84787722e+01,-4.85666124e+01,2
1.11345420e+01,4.28261723e+01,0
3.86994566e+01,7.50726763e+01,0
-9.70857423e+01,4.21097768e+01,1
-7.03637027e+01,6.60859920e+01,1
4.11344414e+00,3.95316795e+01,0
8.97289558e+00,5.00579138e+01,0
-5.90361239e+01,-8.09696305e+01,2
-8.85286754e+01,5.04969761e+01,1
1.64162123e+01,5.84087533e+01,0
-7.81603842e+01,-6.45601795e+01,2
-9.04107857e+01,-5.35988053e+01,2
7.57782838e+00,4.57358957e+01,0
-8.06848006e+01,6.68297632e+01,1
-9.50367428e+01,4.96082770e+01,1
-9.31247812e+01,-4.95165392e+01,2
-7.93782687e+01,-6.50021862e+01,2
-8.91761936e+01,-5.61778640e+01,2
-1.01176145e+02,3.45825294e+01,0
3.19744073e+01,7.02376620e+01,0
3.72606779e+01,7.38358012e+01,0
2.77195482e+01,6.62940204e+01,0
-8.77518043e+01,-5.60711836e+01,2
-5.58808257e+01,-8.66646191e+01,2
-8.36765572e+01,7.32737442e+01,1
-1.04508193e+02,-3.59464943e+01,2
6.44514097e+00,4.44199701e+01,0
-9.25745982e+01,-4.95364622e+01,1
-7.37623651e+01,-6.65092637e+01,2
-1.00658316e+02,3.97359981e+01,2
-5.95278029e+01,-8.16654790e+01,2
-8.47835804e+01,5.55036620e+01,1
3.50829437e+01,7.44592607e+01,0
-7.86026879e+01,4.99360959e+01,1
-9.32358848e+01,5.53433589e+01,1
-1.69822761e+00,4.04696245e+01,0
2.53855241e+01,6.04094597e+01,0
1.96485400e+01,5.92414768e+01,0
-8.56953608e+01,-5.40465953e+01,2
3.04670316e+01,6.68767557e+01,0
-1.02667425e+02,-3.92239141e+01,2
2.80900984e+01,6.44560160e+01,0
1.35612120e+01,5.62290061e+01,0
-8.45553951e+01,5.61983451e+01,1
-6.80495862e+01,7.69083663e+01,1
-7.92815883e+01,6.36698065e+01,1
-8.27017292e+01,-5.88443596e+01,2
4.72048018e+01,7.94022115e+01,0
1.90734367e+01,6.11013732e+01,0
-8.06532890e+01,-6.18508564e+01,2
-7.38898257e+01,-6.71740884e+01,2
-1.09470243e+02,4.91022752e+01,1
-4.47232850e+01,-9.49313063e+01,2
-1.04533263e+02,-3.85829245e+01,2
-8.01775116e+01,5.48756530e+01,1
1.15990222e+01,5.46147022e+01,0
-7.93865293e+01,-6.00872448e+01,2
-7.01078168e+01,-7.32473421e+01,2
-6.60409512e+01,-7.80540324e+01,2
9.11942850e+00,4.64305863e+01,0
-1.00087019e+02,-4.01622734e+01,2
-7.84579742e+01,5.61406374e+01,1
1.17996403e+01,4.43465188e+01,0
2.58628975e+01,6.39646489e+01,0
-6.84263672e+01,-7.16340593e+01,2
-8.95005188e+01,5.09736182e+01,1
-7.03426260e+01,6.97431434e+01,1
2.63507074e+01,5.88686105e+01,0
-8.68208438e+01,-5.74450191e+01,2
-8.22978197e+01,5.58275886e+01,1
2.40076281e+01,6.53315069e+01,0
-7.28657603e+01,6.42250014e+01,1
-8.03171418e+01,-5.99733565e+01,2
2.97599221e+01,6.96178277e+01,0
-9.56933592e+01,-4.86112767e+01,2
2.23812032e+01,6.11964377e+01,0
2.40444583e+01,5.92898258e+01,0
1.54083575e+01,5.85366229e+01,0
