,Class_label,x_1,x_2
121,2.0,-89.7089474,-53.218716
40,2.0,-90.4107857,-53.598805299999995
81,2.0,-44.723285,-94.9313063
54,2.0,-104.508193,-35.9464943
82,2.0,-104.533263,-38.5829245
184,2.0,-10.9125261,34.3479326
145,2.0,-64.2677198,-79.1840941
58,2.0,-100.658316,39.7359981
87,2.0,-66.0409512,-78.0540324
79,2.0,-73.8898257,-67.1740884
180,2.0,-62.94536239999999,-76.3526303
103,2.0,-95.6933592,-48.611276700000005
109,2.0,-68.23768170000001,-73.60640500000001
44,2.0,-93.1247812,-49.516539200000004
75,2.0,-82.7017292,-58.844359600000004
172,2.0,-82.6459536,-60.1478327
178,2.0,-93.7392465,-45.2019177
26,2.0,-85.8129573,-56.6814938
117,2.0,-78.16978990000001,-66.021341
85,2.0,-79.38652929999999,-60.0872448
146,2.0,-107.207885,-38.1659186
124,2.0,-69.1944112,-72.0051103
195,2.0,-72.6460828,-69.9995049
46,2.0,-89.1761936,-56.177864
153,2.0,-77.6026765,-64.2674451
183,2.0,-103.714047,-39.505226
148,2.0,-95.90876309999999,-50.1738189
189,2.0,-88.7162493,-53.9879922
177,2.0,-74.34038559999999,-64.68787660000001
36,2.0,-59.03612389999999,-80.96963050000001
57,2.0,-73.7623651,-66.5092637
97,2.0,-86.82084379999999,-57.445019099999996
152,2.0,-96.74158620000001,-47.4665686
165,2.0,-95.6018224,-46.427209999999995
93,2.0,-68.4263672,-71.6340593
59,2.0,-59.5278029,-81.665479
17,2.0,-87.7159262,-53.477175300000006
155,2.0,-106.480372,-36.625037400000004
